Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Login,Chrome 121.0.0.0,,,07-02-2024 10:06:40,07-02-2024 10:06:51,10.242s,PASSED
,,,,,,,
Test Cases/Amazon/TC_001_Amazon_login,Chrome 121.0.0.0,,,07-02-2024 10:06:41,07-02-2024 10:06:51,10.024s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 10:06:41,07-02-2024 10:06:42,1.575s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 10:06:42,07-02-2024 10:06:44,1.503s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Chrome 121.0.0.0,,,07-02-2024 10:06:44,07-02-2024 10:06:45,1.455s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_email""), username)",Chrome 121.0.0.0,,,07-02-2024 10:06:45,07-02-2024 10:06:47,1.343s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/inputcontinue""))",Chrome 121.0.0.0,,,07-02-2024 10:06:47,07-02-2024 10:06:49,1.846s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_password""), password)",Chrome 121.0.0.0,,,07-02-2024 10:06:49,07-02-2024 10:06:50,1.402s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/inputsignInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 10:06:50,07-02-2024 10:06:50,0.425s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 10:06:50,07-02-2024 10:06:51,0.192s,PASSED
